Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
1/18/2017,809.5,811.73,804.27,807.48,2354201,0,1,809.5,811.73,804.27,807.48,2354201
1/19/2017,810,813.51,807.32,809.04,2540784,0,1,810,813.51,807.32,809.04,2540784
1/20/2017,815.28,816.02,806.26,808.33,3376196,0,1,815.28,816.02,806.26,808.33,3376196
1/23/2017,806.8,818.5,805.08,817.88,2797474,0,1,806.8,818.5,805.08,817.88,2797474
1/24/2017,822,823.99,814.5,822.44,2971740,0,1,822,823.99,814.5,822.44,2971740
1/25/2017,825.79,837.4183,825.288,836.52,4023078,0,1,825.79,837.4183,825.288,836.52,4023078
1/26/2017,835.53,843.84,833,839.15,3586323,0,1,835.53,843.84,833,839.15,3586323
1/27/2017,839,839.7,829.44,835.77,2998700,0,1,839,839.7,829.44,835.77,2998700
1/30/2017,833,833.5,816.38,830.38,3747336,0,1,833,833.5,816.38,830.38,3747336
1/31/2017,823.75,826.99,819.56,823.48,3137196,0,1,823.75,826.99,819.56,823.48,3137196
2/1/2017,829.21,833.78,824.94,832.35,3850181,0,1,829.21,833.78,824.94,832.35,3850181
2/2/2017,836.59,842.49,828.26,839.95,7350492,0,1,836.59,842.49,828.26,839.95,7350492
2/3/2017,806.72,818.3,804,810.2,10868773,0,1,806.72,818.3,804,810.2,10868773
2/6/2017,809.8,810.72,803,807.64,3897301,0,1,809.8,810.72,803,807.64,3897301
2/7/2017,809.31,816.16,807.5,812.5,3466091,0,1,809.31,816.16,807.5,812.5,3466091
2/8/2017,812.69,821.479,812.5,819.71,2857985,0,1,812.69,821.479,812.5,819.71,2857985
2/9/2017,821.6,825,819.71,821.36,2484948,0,1,821.6,825,819.71,821.36,2484948
2/10/2017,823.82,828,822.85,827.46,2429609,0,1,823.82,828,822.85,827.46,2429609
2/13/2017,831.62,842.9999,828.55,836.53,4172618,0,1,831.62,842.9999,828.55,836.53,4172618
2/14/2017,837,838.31,831.4522,836.39,2792442,0,1,837,838.31,831.4522,836.39,2792442
2/15/2017,834,842.81,832.82,842.7,2968853,0,1,834,842.81,832.82,842.7,2968853
2/16/2017,841.84,845,839.375,844.14,2714667,0,1,841.84,845,839.375,844.14,2714667
2/17/2017,842,847.27,840.73,845.07,3112275,0,1,842,847.27,840.73,845.07,3112275
2/21/2017,848.84,857.98,847.25,856.44,3507742,0,1,848.84,857.98,847.25,856.44,3507742
2/22/2017,856.95,858.43,852.18,855.61,2616971,0,1,856.95,858.43,852.18,855.61,2616971
2/23/2017,857.57,860.86,848,852.19,3461984,0,1,857.57,860.86,848,852.19,3461984
2/24/2017,844.69,845.81,837.7501,845.24,3687963,0,1,844.69,845.81,837.7501,845.24,3687963
2/27/2017,842.38,852.5,839.67,848.64,2713627,0,1,842.38,852.5,839.67,848.64,2713627
2/28/2017,851.45,854.09,842.05,845.04,2793709,0,1,851.45,854.09,842.05,845.04,2793709
3/1/2017,853.05,854.83,849.01,853.08,2760083,0,1,853.05,854.83,849.01,853.08,2760083
3/2/2017,853.08,854.82,847.28,848.91,2132098,0,1,853.08,854.82,847.28,848.91,2132098
3/3/2017,847.2,851.985,846.27,849.88,1951575,0,1,847.2,851.985,846.27,849.88,1951575
3/6/2017,845.23,848.49,841.12,846.61,2610370,0,1,845.23,848.49,841.12,846.61,2610370
3/7/2017,845.48,848.46,843.75,846.02,2247554,0,1,845.48,848.46,843.75,846.02,2247554
3/8/2017,848,853.07,846.79,850.5,2288317,0,1,848,853.07,846.79,850.5,2288317
3/9/2017,851,856.3999,850.31,853,2048187,0,1,851,856.3999,850.31,853,2048187
3/10/2017,857,857.35,851.72,852.46,2436434,0,1,857,857.35,851.72,852.46,2436434
3/13/2017,851.77,855.69,851.71,854.59,1909672,0,1,851.77,855.69,851.71,854.59,1909672
3/14/2017,853.55,853.75,847.55,852.53,2130586,0,1,853.55,853.75,847.55,852.53,2130586
3/15/2017,854.33,854.45,847.11,852.97,2562176,0,1,854.33,854.45,847.11,852.97,2562176
3/16/2017,855.3,855.5,850.51,853.42,1842296,0,1,855.3,855.5,850.51,853.42,1842296
3/17/2017,853.49,853.83,850.64,852.31,3384403,0,1,853.49,853.83,850.64,852.31,3384403
3/20/2017,851.51,857.8,851.01,856.97,2282727,0,1,851.51,857.8,851.01,856.97,2282727
3/21/2017,858.84,862.795,841.31,843.2,4382852,0,1,858.84,862.795,841.31,843.2,4382852
3/22/2017,840.43,849.37,839.05,848.06,2658669,0,1,840.43,849.37,839.05,848.06,2658669
3/23/2017,848.2,850.89,844.8,847.38,1952964,0,1,848.2,850.89,844.8,847.38,1952964
3/24/2017,851.68,851.8,843.53,845.61,2138269,0,1,851.68,851.8,843.53,845.61,2138269
3/27/2017,838.07,850.3,833.5,846.82,2755775,0,1,838.07,850.3,833.5,846.82,2755775
3/28/2017,851.75,858.46,850.1,856,3041633,0,1,851.75,858.46,850.1,856,3041633
3/29/2017,859.05,876.438,859.02,874.32,4485770,0,1,859.05,876.438,859.02,874.32,4485770
3/30/2017,874.95,877.06,871.66,876.34,2762730,0,1,874.95,877.06,871.66,876.34,2762730
3/31/2017,877,890.35,876.65,886.54,3957612,0,1,877,890.35,876.65,886.54,3957612
4/3/2017,888,893.49,885.42,891.51,3422328,0,1,888,893.49,885.42,891.51,3422328
4/4/2017,891.5,908.5384,890.28,906.83,4984656,0,1,891.5,908.5384,890.28,906.83,4984656
4/5/2017,910.82,923.72,905.62,909.28,7508370,0,1,910.82,923.72,905.62,909.28,7508370
4/6/2017,913.8,917.1899,894.4927,898.28,6344065,0,1,913.8,917.1899,894.4927,898.28,6344065
4/7/2017,899.65,900.09,889.31,894.88,3707367,0,1,899.65,900.09,889.31,894.88,3707367
4/10/2017,899.63,908.51,899,907.04,3184301,0,1,899.63,908.51,899,907.04,3184301
4/11/2017,907.04,911.24,897.5,902.36,3012743,0,1,907.04,911.24,897.5,902.36,3012743
4/12/2017,903.09,904.09,895.2501,896.23,2456140,0,1,903.09,904.09,895.2501,896.23,2456140
4/13/2017,891.45,894.97,884.49,884.67,3174583,0,1,891.45,894.97,884.49,884.67,3174583
4/17/2017,887.5,902.38,887.5,901.99,2854673,0,1,887.5,902.38,887.5,901.99,2854673
4/18/2017,900.99,909.61,900.78,903.78,2999238,0,1,900.99,909.61,900.78,903.78,2999238
4/19/2017,907.84,910.5,897.369,899.2,2870242,0,1,907.84,910.5,897.369,899.2,2870242
4/20/2017,899.7,905.32,896.29,902.06,2814441,0,1,899.7,905.32,896.29,902.06,2814441
4/21/2017,902.67,903.65,896.77,898.53,2420494,0,1,902.67,903.65,896.77,898.53,2420494
4/24/2017,908.68,909.99,903.82,907.41,3118123,0,1,908.68,909.99,903.82,907.41,3118123
4/25/2017,907.04,909.48,903,907.62,3367734,0,1,907.04,909.48,903,907.62,3367734
4/26/2017,910.3,915.749,907.56,909.29,2562595,0,1,910.3,915.749,907.56,909.29,2562595
4/27/2017,914.39,921.86,912.11,918.76,4255693,0,1,914.39,921.86,912.11,918.76,4255693
4/28/2017,948.83,949.59,924.3335,924.99,7278819,0,1,948.83,949.59,924.3335,924.99,7278819
5/1/2017,927.8,954.4,927.8,948.43,5415793,0,1,927.8,954.4,927.8,948.43,5415793
5/2/2017,946.645,950.1,941.413,946.68,3800912,0,1,946.645,950.1,941.413,946.68,3800912
5/3/2017,946,946,935.9,941.03,3544234,0,1,946,946,935.9,941.03,3544234
5/4/2017,944.75,945,934.215,937.53,2380874,0,1,944.75,945,934.215,937.53,2380874
5/5/2017,940.52,940.79,930.3,934.15,2856585,0,1,940.52,940.79,930.3,934.15,2856585
5/8/2017,940.95,949.05,939.21,949.04,3370672,0,1,940.95,949.05,939.21,949.04,3370672
5/9/2017,952.8,957.89,950.2,952.82,3230630,0,1,952.8,957.89,950.2,952.82,3230630
5/10/2017,953.5,953.7499,945,948.95,2083441,0,1,953.5,953.7499,945,948.95,2083441
5/11/2017,945.11,950.29,940.775,947.62,2135393,0,1,945.11,950.29,940.775,947.62,2135393
5/12/2017,954.5,962.79,951.53,961.35,3605620,0,1,954.5,962.79,951.53,961.35,3605620
5/15/2017,958.73,963.15,956.055,957.97,4245856,0,1,958.73,963.15,956.055,957.97,4245856
5/16/2017,961,970.06,960.91,966.07,3050005,0,1,961,970.06,960.91,966.07,3050005
5/17/2017,954.7,960.3957,944.12,944.52,5073254,0,1,954.7,960.3957,944.12,944.52,5073254
5/18/2017,944.8,962.75,944.76,958.49,3876816,0,1,944.8,962.75,944.76,958.49,3876816
5/19/2017,962.84,968.92,959.72,959.84,3846299,0,1,962.84,968.92,959.72,959.84,3846299
5/22/2017,964,971.38,962.9,970.7,2613805,0,1,964,971.38,962.9,970.7,2613805
5/23/2017,975.02,975.2,966.85,971.54,2395510,0,1,975.02,975.2,966.85,971.54,2395510
5/24/2017,976,981,970.23,980.35,2407995,0,1,976,981,970.23,980.35,2407995
5/25/2017,984.85,999,982.11,993.38,4737390,0,1,984.85,999,982.11,993.38,4737390
